Time		G		Gd		Gc		DNI		DNIc		A		Ad		Ac
07:37		67		46		65		235		450		341		101		547
07:52		96		58		104		288		551		413		119		664
08:07		126		68		146		328		629		464		128		749
08:22		155		78		190		361		691		504		135		816
08:37		184		86		234		386		740		537		140		869
08:52		212		94		276		407		780		564		145		912
09:07		238		100		317		424		813		586		150		947
09:22		262		106		356		439		840		605		153		977
09:37		285		111		393		451		864		620		156		1000
09:52		306		116		426		461		883		633		158		1020
10:07		324		119		457		469		899		643		160		1040
10:22		341		123		484		477		913		652		162		1050
10:37		355		125		507		482		924		659		163		1060
10:52		367		127		527		487		933		665		164		1070
11:07		376		129		543		491		940		669		164		1080
11:22		384		130		555		493		945		672		165		1080
11:37		388		131		564		495		948		674		165		1080
11:52		391		131		568		496		950		675		165		1090
12:07		391		131		568		496		950		675		165		1090
12:22		388		131		564		495		948		674		165		1080
12:37		384		130		555		493		945		672		165		1080
12:52		376		129		543		491		940		669		164		1080
13:07		367		127		527		487		933		665		164		1070
13:22		355		125		507		482		924		659		163		1060
13:37		341		123		484		477		913		652		162		1050
13:52		324		119		457		469		899		643		160		1040
14:07		306		116		426		461		883		633		158		1020
14:22		285		111		393		451		864		620		156		1000
14:37		262		106		356		439		840		605		153		977
14:52		238		100		317		424		813		586		150		947
15:07		212		94		276		407		780		564		145		912
15:22		184		86		234		386		740		537		140		869
15:37		155		78		190		361		691		504		135		816
15:52		126		68		146		328		629		464		128		749
16:07		96		58		104		288		551		413		119		664
16:22		67		46		65		235		450		341		101		547
16:37		42		34		33		174		332		235		59		387
